Well_ID,Well,CV:595,OD595
BLK,A1,0.19,0.008
BLK,B1,0.179,-0.003
BLK,C1,0.192,0.01
BLK,D1,0.163,-0.019
BLK,E1,0.183,0.001
BLK,F1,0.19,0.008
BLK,G1,0.188,0.005
BLK,H1,0.18,-0.002
BLK,A2,0.17,-0.012
BLK,B2,0.179,-0.003
BLK,C2,0.19,0.008
BLK,D2,0.177,-0.005
BLK,E2,0.185,0.003
BLK,F2,0.185,0.003
BLK,G2,0.186,0.004
BLK,H2,0.177,-0.005
SPL1,E3,1.824,1.642
SPL1,E4,1.741,1.559
SPL1,E5,1.688,1.506
SPL1,E6,2.013,1.831
SPL1,E7,2.326,2.144
SPL2,E8,2.013,1.831
SPL2,E9,2.197,2.015
SPL2,E10,2.25,2.067
SPL2,E11,2.295,2.113
SPL2,E12,1.896,1.714
SPL3,F3,1.319,1.137
SPL3,F4,1.199,1.017
SPL3,F5,1.315,1.133
SPL3,F6,1.291,1.109
SPL3,F7,1.236,1.054
SPL4,F8,0.244,0.062
SPL4,F9,1.002,0.82
SPL4,F10,1.013,0.831
SPL4,F11,1.151,0.969
SPL4,F12,1.196,1.014
SPL5,G3,1.162,0.98
SPL5,G4,1.195,1.013
SPL5,G5,1.322,1.14
SPL5,G6,0.783,0.601
SPL5,G7,1.091,0.909
SPL6,G8,1.195,1.013
SPL6,G9,1.21,1.028
SPL6,G10,1.311,1.129
SPL6,G11,1.443,1.261
SPL6,G12,1.343,1.16
SPL7,H3,0.192,0.01
SPL7,H4,0.193,0.011
SPL7,H5,0.197,0.015
SPL7,H6,0.193,0.011
SPL7,H7,0.201,0.019
SPL8,H8,0.181,-0.001
SPL8,H9,0.214,0.032
SPL8,H10,0.203,0.021
SPL8,H11,0.199,0.017
SPL8,H12,0.226,0.044
SPLC1,A3,0.301,0.119
SPLC1,A4,0.304,0.122
SPLC1,A5,0.287,0.105
SPLC1,A6,0.283,0.101
SPLC1,A7,0.339,0.157
SPLC2,A8,0.398,0.215
SPLC2,A9,0.414,0.232
SPLC2,A10,0.413,0.231
SPLC2,A11,0.503,0.321
SPLC2,A12,0.503,0.321
SPLC3,B3,1.29,1.107
SPLC3,B4,1.249,1.067
SPLC3,B5,1.203,1.02
SPLC3,B6,1.268,1.086
SPLC3,B7,1.28,1.098
SPLC4,B8,0.513,0.331
SPLC4,B9,0.495,0.313
SPLC4,B10,0.527,0.345
SPLC4,B11,0.505,0.323
SPLC4,B12,0.557,0.375
SPLC5,C3,0.379,0.197
SPLC5,C4,0.364,0.182
SPLC5,C5,0.367,0.185
SPLC5,C6,0.343,0.161
SPLC5,C7,0.401,0.219
SPLC6,C8,0.384,0.202
SPLC6,C9,0.389,0.207
SPLC6,C10,0.424,0.242
SPLC6,C11,0.458,0.276
SPLC6,C12,0.402,0.22
SPLC7,D3,0.176,-0.006
SPLC7,D4,0.171,-0.011
SPLC7,D5,0.18,-0.002
SPLC7,D6,0.192,0.01
SPLC7,D7,0.172,-0.01
SPLC8,D8,0.182,0
SPLC8,D9,0.168,-0.014
SPLC8,D10,0.178,-0.004
SPLC8,D11,0.18,-0.002
SPLC8,D12,0.182,0
