Well_ID,Well,CV:595,OD595
BLK,A1,0.205,0.007
BLK,B1,0.2,0.003
BLK,C1,0.216,0.018
BLK,D1,0.196,-0.001
BLK,E1,0.202,0.004
BLK,F1,0.182,-0.015
BLK,G1,0.2,0.003
BLK,H1,0.2,0.003
BLK,A2,0.197,0
BLK,B2,0.199,0.002
BLK,C2,0.192,-0.006
BLK,D2,0.197,-0.001
BLK,E2,0.189,-0.008
BLK,F2,0.191,-0.007
BLK,G2,0.205,0.007
BLK,H2,0.187,-0.01
SPL1,E3,1.944,1.747
SPL1,E4,2.134,1.937
SPL1,E5,1.738,1.541
SPL1,E6,1.78,1.583
SPL1,E7,2.111,1.914
SPL4,E8,1.6,1.403
SPL4,E9,1.811,1.614
SPL4,E10,1.765,1.567
SPL4,E11,1.695,1.498
SPL4,E12,1.831,1.634
SPL2,F3,2.308,2.111
SPL2,F4,1.91,1.712
SPL2,F5,1.816,1.618
SPL2,F6,1.916,1.719
SPL2,F7,2.464,2.267
SPL3,F8,1.983,1.786
SPL3,F9,2.053,1.856
SPL3,F10,1.98,1.782
SPL3,F11,2.146,1.948
SPL3,F12,2.063,1.866
SPL6,G3,1.853,1.655
SPL6,G4,1.454,1.256
SPL6,G5,1.417,1.22
SPL6,G6,1.885,1.688
SPL6,G7,1.563,1.366
SPL5,G8,1.718,1.521
SPL5,G9,1.275,1.078
SPL5,G10,1.795,1.598
SPL5,G11,1.937,1.74
SPL5,G12,1.973,1.775
SPL7,H3,0.19,-0.008
SPL7,H4,0.198,0.001
SPL7,H5,0.196,-0.002
SPL7,H6,0.201,0.004
SPL7,H7,0.195,-0.003
SPL8,H8,0.187,-0.01
SPL8,H9,0.187,-0.011
SPL8,H10,0.197,0
SPL8,H11,0.19,-0.007
SPL8,H12,0.195,-0.002
SPLC1,A3,0.317,0.119
SPLC1,A4,0.357,0.16
SPLC1,A5,0.396,0.199
SPLC1,A6,0.545,0.348
SPLC1,A7,0.543,0.346
SPLC4,A8,0.918,0.721
SPLC4,A9,0.85,0.652
SPLC4,A10,0.788,0.591
SPLC4,A11,0.8,0.603
SPLC4,A12,0.939,0.742
SPLC2,B3,0.415,0.218
SPLC2,B4,0.486,0.289
SPLC2,B5,0.371,0.174
SPLC2,B6,0.474,0.276
SPLC2,B7,0.584,0.387
SPLC3,B8,1.511,1.314
SPLC3,B9,1.433,1.236
SPLC3,B10,1.501,1.304
SPLC3,B11,1.435,1.238
SPLC3,B12,1.423,1.225
SPLC6,C3,0.52,0.323
SPLC6,C4,0.383,0.185
SPLC6,C5,0.499,0.302
SPLC6,C6,0.38,0.183
SPLC6,C7,0.371,0.174
SPLC5,C8,0.504,0.307
SPLC5,C9,0.557,0.36
SPLC5,C10,0.663,0.466
SPLC5,C11,0.622,0.424
SPLC5,C12,0.432,0.235
SPLC7,D3,0.19,-0.007
SPLC7,D4,0.193,-0.004
SPLC7,D5,0.185,-0.012
SPLC7,D6,0.185,-0.012
SPLC7,D7,0.19,-0.007
SPLC8,D8,0.183,-0.014
SPLC8,D9,0.19,-0.007
SPLC8,D10,0.183,-0.014
SPLC8,D11,0.189,-0.008
SPLC8,D12,0.193,-0.004
